pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,Game_Date
KC,2022-07-17,79,-1.94,5.06,"Anderson, Brian",605119,605400,single,hit_into_play,NA,NA,NA,NA,9,"Brian Anderson singles on a ground ball to center fielder Matt Vierling, deflected by second baseman Yairo Munoz.   Joey Wendle to 2nd.",R,R,R,MIA,PHI,X,4,ground_ball,1,2,2022,1.12,-0.85,0.51,1.59,NA,NA,621563,1,9,Bot,127.69,121.67,NA,NA,592663,NA,NA,3.26273862032628,-114.912981186319,0.966695761064208,9.13947689851026,24.6265609948036,-40.1174502807097,3.43,1.61,50,92.1,2,79.1,2693,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.74,0.391,0.381,0.9,1,1,0,2,65,4,Knuckle Curve,0,4,0,4,4,0,0,4,Standard,Standard,50,0.023,0.571,2022-07-17
CH,2022-07-17,86.7,-2.08,4.89,"Anderson, Brian",605119,605400,NA,ball,NA,NA,NA,NA,14,"Brian Anderson singles on a ground ball to center fielder Matt Vierling, deflected by second baseman Yairo Munoz.   Joey Wendle to 2nd.",R,R,R,MIA,PHI,B,NA,NA,0,2,2022,-1.36,0.42,0.67,1.05,NA,NA,621563,1,9,Bot,NA,NA,NA,NA,592663,NA,NA,9.3864691897463,-125.868672721144,-3.76504936963835,-16.5074286672981,28.3903683762246,-27.060220909362,3.41,1.6,NA,NA,NA,86.4,1534,6.5,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,54,NA,NA,NA,NA,NA,NA,NA,65,3,Changeup,0,4,0,4,4,0,0,4,Standard,Standard,250,0,0.034,2022-07-17
FF,2022-07-17,92.3,-1.97,4.9,"Anderson, Brian",605119,605400,NA,foul_tip,NA,NA,NA,NA,6,"Brian Anderson singles on a ground ball to center fielder Matt Vierling, deflected by second baseman Yairo Munoz.   Joey Wendle to 2nd.",R,R,R,MIA,PHI,S,NA,NA,0,1,2022,-1.22,1.31,0.68,2.61,NA,NA,621563,1,9,Bot,NA,NA,NA,NA,592663,NA,NA,9.48145475574586,-134.063342108016,-2.8299785023639,-16.8178478772624,30.3023843147801,-16.0184975303439,3.43,1.61,NA,NA,NA,93,2319,6.9,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.62,NA,NA,NA,NA,NA,NA,NA,65,2,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,231,0,-0.068,2022-07-17
CH,2022-07-17,85.8,-2.1,4.87,"Anderson, Brian",605119,605400,NA,foul_tip,NA,NA,NA,NA,13,"Brian Anderson singles on a ground ball to center fielder Matt Vierling, deflected by second baseman Yairo Munoz.   Joey Wendle to 2nd.",R,R,R,MIA,PHI,S,NA,NA,0,0,2022,-1.17,0.32,-0.99,2.45,NA,NA,621563,1,9,Bot,NA,NA,NA,NA,592663,NA,NA,5.04200230356288,-124.77980829812,-0.070623795314315,-13.2558191724925,26.4164027771218,-29.0714423838285,3.43,1.61,NA,NA,NA,86.4,1464,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.67,NA,NA,NA,NA,NA,NA,NA,65,1,Changeup,0,4,0,4,4,0,0,4,Standard,Standard,253,0,-0.05,2022-07-17
SI,2022-07-17,92.2,-1.91,5.02,"Wendle, Joey",621563,605400,single,hit_into_play,NA,NA,NA,NA,6,Joey Wendle singles on a ground ball to right fielder Nick Castellanos.,R,L,R,MIA,PHI,X,9,ground_ball,1,0,2022,-1.48,0.77,0.43,2.16,NA,NA,NA,1,9,Bot,174.33,130.29,NA,NA,592663,NA,NA,9.29116858908258,-133.981986897365,-3.10287156257429,-19.8819725545022,30.029156650908,-22.4179177740617,3.32,1.57,5,82.8,-23,93.1,2287,7,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.52,0.06,0.057,0.9,1,1,0,2,64,2,Sinker,0,4,0,4,4,0,0,4,Standard,Standard,228,0.01,0.241,2022-07-17
KC,2022-07-17,79.3,-2.02,5.09,"Wendle, Joey",621563,605400,NA,ball,NA,NA,NA,NA,14,Joey Wendle singles on a ground ball to right fielder Nick Castellanos.,R,L,R,MIA,PHI,B,NA,NA,0,0,2022,1.13,-1.01,0.89,1.63,NA,NA,NA,1,9,Bot,NA,NA,NA,NA,592663,NA,NA,4.26621875859808,-115.350768532739,1.20031265840199,9.13082813875272,24.2248962360192,-41.5728981281613,3.42,1.61,NA,NA,NA,79.6,2569,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.69,NA,NA,NA,NA,NA,NA,NA,64,1,Knuckle Curve,0,4,0,4,4,0,0,4,Standard,Standard,55,0,0.024,2022-07-17
FF,2022-07-17,93,-1.88,5.01,"Fortes, Nick",663743,605400,field_out,hit_into_play,NA,NA,NA,NA,1,Nick Fortes flies out to left fielder Kyle Schwarber.,R,R,R,MIA,PHI,X,7,fly_ball,3,2,2022,-1.13,1.24,-0.51,2.89,NA,NA,NA,0,9,Bot,65.37,91.54,NA,NA,592663,NA,NA,6.04590911384994,-135.165680041138,-2.31261763325163,-15.2041239161395,33.30569991196,-16.7803196884834,3.29,1.53,305,92.5,43,93.4,2300,6.9,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.6,0,0,0,1,0,0,3,63,7,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,231,-0.01,-0.294,2022-07-17
FF,2022-07-17,94.1,-1.84,5.1,"Fortes, Nick",663743,605400,NA,foul,NA,NA,NA,NA,6,Nick Fortes flies out to left fielder Kyle Schwarber.,R,R,R,MIA,PHI,S,NA,NA,3,2,2022,-1.2,1.32,0.47,2.13,NA,NA,NA,0,9,Bot,NA,NA,NA,NA,592663,NA,NA,8.73254807504709,-136.534668609839,-4.87630766375653,-17.1084679214592,34.7096284530664,-14.7868604206692,3.29,1.53,248,83.8,25,94.2,2429,6.9,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.61,NA,NA,NA,NA,NA,NA,NA,63,6,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,224,0,0,2022-07-17
FF,2022-07-17,93.3,-1.88,4.99,"Fortes, Nick",663743,605400,NA,called_strike,NA,NA,NA,NA,6,Nick Fortes flies out to left fielder Kyle Schwarber.,R,R,R,MIA,PHI,S,NA,NA,3,1,2022,-1.39,1.32,0.45,2.07,NA,NA,NA,0,9,Bot,NA,NA,NA,NA,592663,NA,NA,9.11087460767363,-135.371428295299,-4.56517728848512,-19.1847375286584,33.8370259458132,-15.2167029710886,3.23,1.52,NA,NA,NA,93.3,2430,6.8,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.72,NA,NA,NA,NA,NA,NA,NA,63,5,4-Seam Fastball,0,4,0,4,4,0,0,4,Standard,Standard,228,0,-0.075,2022-07-17
CH,2022-07-17,86.3,-2.05,4.87,"Fortes, Nick",663743,605400,NA,ball,NA,NA,NA,NA,13,Nick Fortes flies out to left fielder Kyle Schwarber.,R,R,R,MIA,PHI,B,NA,NA,2,1,2022,-1.34,0.4,-0.11,0.87,NA,NA,NA,0,9,Bot,NA,NA,NA,NA,592663,NA,NA,7.41515830202163,-125.321646769375,-4.03516309352058,-15.6615751587599,28.4440742551468,-27.2796461426498,3.27,1.49,NA,NA,NA,86.7,1520,6.9,661373,605400,592663,622666,622168,664761,544369,656941,663837,592206,53.57,NA,NA,NA,NA,NA,NA,NA,63,4,Changeup,0,4,0,4,4,0,0,4,Standard,Standard,247,0,0.11,2022-07-17
